file,family,rev_label,status,batch,batch_date,batch_label,note
1_2_propellant_econ_prefab_v3_2.docx,1_2_propellant_econ_prefab,v3.2,REFERENCE,B13,2026-03-08,8th march,"team/course research or audit — informs, not authoritative"
49069_2026_SYD_AUT_Task_3_DiscussionBoard.pdf,49069_2026_syd_aut_task_3_discussionboard,-,OUT_OF_SCOPE,B23,2026-04-01,late march / early april,course/pitch/legal context
49069_SYD_2026_AUT_-_Lecture_05_-_PersuasionNegotiation__1_.pdf,49069_syd_2026_aut_-_lecture_05_-_persuasionnegotiation,-,OUT_OF_SCOPE,B23,2026-04-01,late march / early april,course/pitch/legal context
9789047419464-13074.pdf,9789047419464-13074,-,OUT_OF_SCOPE,B18,2026-02-28,28th feb,course/pitch/legal context
annual_processed_output_by_phase.jpg,annual_processed_output_by_phase,-,FIGURE,B16,2026-03-03,3rd march (audit = 4th),"rendered output, not a source"
arm_d_3d_render_v1.html,arm_d_3d_render,v1,AUTHORITATIVE,B24,2026-03-15,march (day unknown),family winner
artifact1_submission.html,artifact1_submission,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
artifact2_pitch_updated.html,artifact2_pitch,-+,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
artifact2_pitch.html,artifact2_pitch,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
artifact2_pitch_edited.html,artifact2_pitch_edited,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
artifact3_semester.html,artifact3_semester,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
asteroid_cba.html,asteroid_cba,-,AUTHORITATIVE,B19,2026-02-22,20-23 feb (concept/pitch),family winner
base_layout.pptx,base_layout,-,AUTHORITATIVE,B13,2026-03-08,8th march,family winner
Cochlear_form-f17b.docx,cochlear_form-f17b,-,EXCLUDED,B22,2026-04-05,"downloads, early april",accidental upload
compass_artifact_wf-0de39b9e.md,compass_artifact_wf-0de39b9e,-,REFERENCE,B07,2026-04-04,4th april batch 1,"team/course research or audit — informs, not authoritative"
compass_artifact_wf-0ed1ff48.md,compass_artifact_wf-0ed1ff48,-,REFERENCE,B07,2026-04-04,4th april batch 1,"team/course research or audit — informs, not authoritative"
compass_artifact_wf-2ccba0e0.md,compass_artifact_wf-2ccba0e0,-,REFERENCE,B07,2026-04-04,4th april batch 1,"team/course research or audit — informs, not authoritative"
compass_artifact_wf-489c50ff.md,compass_artifact_wf-489c50ff,-,REFERENCE,B07,2026-04-04,4th april batch 1,"team/course research or audit — informs, not authoritative"
compass_artifact_wf-d62dc23b.md,compass_artifact_wf-d62dc23b,-,REFERENCE,B07,2026-04-04,4th april batch 1,"team/course research or audit — informs, not authoritative"
compass_artifact_wf-d64817b5.md,compass_artifact_wf-d64817b5,-,REFERENCE,B07,2026-04-04,4th april batch 1,"team/course research or audit — informs, not authoritative"
compass_artifact_wf-fe9fecf5.md,compass_artifact_wf-fe9fecf5,-,REFERENCE,B07,2026-04-04,4th april batch 1,"team/course research or audit — informs, not authoritative"
conductor_tables.jsx,conductor_tables,-,AUTHORITATIVE,B11,2026-03-09,9th march,family winner
conductor_tables_reference.html,conductor_tables_reference,-,AUTHORITATIVE,B11,2026-03-09,9th march,family winner
W5_T4_4_JS_construction_phasing_gantt.html,construction_phasing_gantt,-,DUPLICATE,B09,2026-03-23,w5 folder,same file uploaded again
W5_T4_4_JS_construction_phasing_gantt.html,construction_phasing_gantt,-,AUTHORITATIVE,B21,2026-04-20,"downloads, mid-late april",family winner
W5_T4_4_JS_construction_phasing_gantt.html,construction_phasing_gantt,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
W5_T4_4_JS_construction_phasing_gantt.html,construction_phasing_gantt,-,DUPLICATE,B26,2026-03-23,construction phasing subdir (dup),same file uploaded again
ECN-018_InSitu_Reagent_Fabrication_PGM.md,ecn-018,-,AUTHORITATIVE,B07,2026-04-04,4th april batch 1,family winner
ECN-018_InSitu_Reagent_Fabrication_PGM__1_.md,ecn-018,-,DUPLICATE,B07,2026-04-04,4th april batch 1,same file uploaded again
ECN-019_Programme_Wide_Design_Revision.md,ecn-019,-,AUTHORITATIVE,B07,2026-04-04,4th april batch 1,family winner
ECN-019_Programme_Wide_Design_Revision.md,ecn-019,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
ECN-019_Programme_Wide_Design_Revision__1_.md,ecn-019,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
evaluation_strategy.txt,evaluation_strategy,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
W5_T4_4_JS_expansion_P4_P7.html,expansion_p4_p7,-,DUPLICATE,B09,2026-03-23,w5 folder,same file uploaded again
W5_T4_4_JS_expansion_P4_P7.html,expansion_p4_p7,-,AUTHORITATIVE,B21,2026-04-20,"downloads, mid-late april",family winner
W5_T4_4_JS_expansion_P4_P7.html,expansion_p4_p7,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
W5_T4_4_JS_expansion_P4_P7.html,expansion_p4_p7,-,DUPLICATE,B26,2026-03-23,construction phasing subdir (dup),same file uploaded again
W5_T4_3_JS_fleet_count_P3toP7.html,fleet_count_p3top7,-,DUPLICATE,B09,2026-03-23,w5 folder,same file uploaded again
W5_T4_3_JS_fleet_count_P3toP7.html,fleet_count_p3top7,-,AUTHORITATIVE,B21,2026-04-20,"downloads, mid-late april",family winner
W5_T4_3_JS_fleet_count_P3toP7.html,fleet_count_p3top7,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
W5_T4_3_JS_fleet_specs_summary.html,fleet_specs_summary,-,DUPLICATE,B01,2026-04-12,april 12th folder,same file uploaded again
W5_T4_3_JS_fleet_specs_summary.html,fleet_specs_summary,-,DUPLICATE,B09,2026-03-23,w5 folder,same file uploaded again
W5_T4_3_JS_fleet_specs_summary.html,fleet_specs_summary,-,AUTHORITATIVE,B21,2026-04-20,"downloads, mid-late april",family winner
W5_T4_3_JS_fleet_specs_summary.html,fleet_specs_summary,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
HAULER_SPEC_UPDATE_BRIEF.md,hauler_spec_update_brief,-,REFERENCE,B22,2026-04-05,"downloads, early april","team/course research or audit — informs, not authoritative"
high_level_base_layout_v2.png,high_level_base_layout,v2,FIGURE,B12,2026-03-09,main folder (9th march unless noted),"rendered output, not a source"
high_level_base_layout.png,high_level_base_layout,-,FIGURE,B13,2026-03-08,8th march,"rendered output, not a source"
how_pitch_v2.docx,how_pitch,v2,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
how_pitch.docx,how_pitch,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
W2_T1_6_JS_InternationalSpaceGovernance_v1_0_2026-02-28.docx,internationalspacegovernance_v1_0_2026-02-28,-,TEAM_INPUT,B18,2026-02-28,28th feb,team contribution; carries weight via the final report
ishola-et-al-2021-legal-enforceability.pdf,ishola-et-al-2021-legal-enforceability,-,OUT_OF_SCOPE,B18,2026-02-28,28th feb,course/pitch/legal context
W2_T1_2_JS_ITER-ISS_v1_0_2026_02_28.docx,iter-iss_v1_0_2026_02_28,-,TEAM_INPUT,B18,2026-02-28,28th feb,team contribution; carries weight via the final report
JSTEWART_-_Selenite_pitch.docx,jstewart_-_selenite_pitch,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
JSTEWART_-_Selenite_pitch.docx,jstewart_-_selenite_pitch,-,OUT_OF_SCOPE,B25,2026-03-01,early march and before,course/pitch/legal context
W5_T4_4_JS_milestone_reference.html,milestone_reference,-,DUPLICATE,B01,2026-04-12,april 12th folder,same file uploaded again
W5_T4_4_JS_milestone_reference.html,milestone_reference,-,DUPLICATE,B09,2026-03-23,w5 folder,same file uploaded again
W5_T4_4_JS_milestone_reference.html,milestone_reference,-,AUTHORITATIVE,B21,2026-04-20,"downloads, mid-late april",family winner
W5_T4_4_JS_milestone_reference.html,milestone_reference,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
W5_T4_4_JS_milestone_reference.html,milestone_reference,-,DUPLICATE,B26,2026-03-23,construction phasing subdir (dup),same file uploaded again
mole-i_yield_sensitivity.jpg,mole-i_yield_sensitivity,-,FIGURE,B16,2026-03-03,3rd march (audit = 4th),"rendered output, not a source"
mole_i_3d_render_v2.html,mole_i_3d_render,v2,DUPLICATE,B11,2026-03-09,9th march,same file uploaded again
mole_i_3d_render_v2.html,mole_i_3d_render,v2,AUTHORITATIVE,B24,2026-03-15,march (day unknown),family winner
mole-i-3d-render.html,mole_i_3d_render,-,SUPERSEDED,B12,2026-03-09,main folder (9th march unless noted),
mole_i_3d_render.html,mole_i_3d_render,-,SUPERSEDED,B11,2026-03-09,9th march,
mole_i_design_v3.jsx,mole_i_design,v3,AUTHORITATIVE,B11,2026-03-09,9th march,family winner
MOLEI_ISO.png,molei_iso,-,FIGURE,B11,2026-03-09,9th march,"rendered output, not a source"
MOLEI_THERMAL_v1_3.m,molei_thermal,v1.3,AUTHORITATIVE,B11,2026-03-09,9th march,family winner
molei_thermal_v1_3.m,molei_thermal,v1.3,AUTHORITATIVE,B12,2026-03-09,main folder (9th march unless noted),family winner
molei_thermal_v1_2.m,molei_thermal,v1.2,HISTORICAL,B13,2026-03-08,8th march,kept for goldens/value tracing
molei_thermal_v1_1.m,molei_thermal,v1.1,HISTORICAL,B13,2026-03-08,8th march,kept for goldens/value tracing
molei_thermal_v1.m,molei_thermal,v1,HISTORICAL,B13,2026-03-08,8th march,kept for goldens/value tracing
W2_T1_1_JS_MTL_v8_5.html,mtl,v8.5,AUTHORITATIVE,B04,2026-03-11,11th march batch 3,family winner
W2_T1_1_JS_MTL_v8_4.html,mtl,v8.4,SUPERSEDED,B12,2026-03-09,main folder (9th march unless noted),
W2_T1_1_JS_MTL_v8_3.html,mtl,v8.3,SUPERSEDED,B10,2026-03-10,10th march,
W2_T1_1_JS_MTL_v8_2.html,mtl,v8.2,SUPERSEDED,B13,2026-03-08,8th march,
W2_T1_1_JS_MTL_v8_1.html,mtl,v8.1,SUPERSEDED,B15,2026-03-05,5th march (value chain v7 = 6th),
W2_T1_1_JS_MTL_v6.html,mtl,v6,SUPERSEDED,B16,2026-03-03,3rd march (audit = 4th),
W2_T1_1_JS_MTL_v5.html,mtl,v5,SUPERSEDED,B17,2026-03-01,1st march,
W2_T1_1_JS_MTL_v4.html,mtl,v4,SUPERSEDED,B17,2026-03-01,1st march,
selenite_mission_timeline_v4.html,mtl,v4,SUPERSEDED,B18,2026-02-28,28th feb,
selenite_mission_timeline_v3.html,mtl,v3,DUPLICATE,B18,2026-02-28,28th feb,same file uploaded again
selenite_mission_timeline_v3.html,mtl,v3,SUPERSEDED,B25,2026-03-01,early march and before,
selenite_mission_timeline_v2.html,mtl,v2,SUPERSEDED,B18,2026-02-28,28th feb,
selenite_mission_timeline.html,mtl,-,SUPERSEDED,B18,2026-02-28,28th feb,
MTL_bar_hovers.docx,mtl_bar_hovers,-,AUTHORITATIVE,B17,2026-03-01,1st march,family winner
MTL_GUIDE_v18_revised.docx,mtl_guide,v18+,AUTHORITATIVE,B22,2026-04-05,"downloads, early april",family winner
MTL_GUIDE_v18_revised__1_.docx,mtl_guide,v18+,DUPLICATE,B22,2026-04-05,"downloads, early april",same file uploaded again
MTL_GUIDE_v18.docx,mtl_guide,v18,SUPERSEDED,B01,2026-04-12,april 12th folder,
MTL_GUIDE_v18.docx,mtl_guide,v18,DUPLICATE,B08,2026-04-04,4th april batch 2,same file uploaded again
MTL_GUIDE_v18.md,mtl_guide,v18,SUPERSEDED,B01,2026-04-12,april 12th folder,
updated_W2_T1_1_JS_MTL_GUIDE_v17.docx,mtl_guide,v17+,SUPERSEDED,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,
W2_T1_1_JS_MTL_GUIDE_v17.docx,mtl_guide,v17,DUPLICATE,B02,2026-03-11,11th march batch 1,same file uploaded again
W2_T1_1_JS_MTL_GUIDE_v17.docx,mtl_guide,v17,DUPLICATE,B10,2026-03-10,10th march,same file uploaded again
W2_T1_1_JS_MTL_GUIDE_v17.docx,mtl_guide,v17,SUPERSEDED,B24,2026-03-15,march (day unknown),
W2_T1_1_JS_MTL_GUIDE_v16.docx,mtl_guide,v16,SUPERSEDED,B11,2026-03-09,9th march,
W2_T1_1_JS_MTL_GUIDE_v16.docx,mtl_guide,v16,DUPLICATE,B12,2026-03-09,main folder (9th march unless noted),same file uploaded again
W2_T1_1_JS_GUIDE_v15.docx,mtl_guide,v15,SUPERSEDED,B24,2026-03-15,march (day unknown),
W2_T1_1_JS_GUIDE_v15__1_.docx,mtl_guide,v15,DUPLICATE,B24,2026-03-15,march (day unknown),same file uploaded again
W2_T1_1_JS_GUIDE_v15__2_.docx,mtl_guide,v15,DUPLICATE,B24,2026-03-15,march (day unknown),same file uploaded again
